name,description
Ar-condicionado,Sistema de climatização automático
Direção hidráulica,Facilita a condução com menor esforço no volante
Freios ABS,Sistema de freios antiblocante
Airbag,Airbags frontais e laterais para segurança
Câmbio automático,Transmissão automática de marchas
Tração 4x4,Ideal para terrenos off-road
Bancos rebatíveis,Maior espaço no porta-malas ao rebater os bancos
Barras de teto,Facilitam o transporte de bagagens extras
Sensor de estacionamento traseiro,Auxílio para manobras em locais apertados
Modo Sport,Configuração de direção esportiva
Suspensão rebaixada,Maior estabilidade em alta velocidade
Aerofólio traseiro,Melhora a aerodinâmica e estabilidade
Freios de alta performance,Sistema de freios para altas velocidades
Bancos concha,Bancos esportivos que oferecem maior suporte lateral
